character,dialog,seasons
Peter," Oh, my God! I just took a shot in the dark! Holy crap!",season 4
Peter," Hey, how much for that fat guy in the circle? I dont see a price tag on that.",season 4
Peter," Oh, oh, embarrassing. Eh, okay. Well in that case, Ill take the rest on a gift certificate.",season 4
Lois," Oh, sweetie, you look so handsome on TV!",season 4
Brian," I cant believe you actually won! But I suppose its not the strangest thing Ive seen on a game show...like when Adam West was on ""Jeop",season 4
Stewie," Yes, Bertram, Im alive. And I think youll find all your guards quite incapacitated.",season 4
Stewie," Well, when Im done with you, youre going to hate me more than the other vowels hate Y.  If youll turn to page 34 of your blue books, youll see our projections for next quarter, Y enters, talking on his cell  Okay,  Well, before you Ys phone rings So, what are we talking about here? Well, well, well, look who decided to show up. okay. Yeah, alright. Okay, you know what, Im in a meeting, Ill call you back. hangs up phone which I can",season 4
Lois," Thank you, Doctor. Ive realized now that eating is not the way to solve my problems. You hear that, Meg?",season 4
Meg," For your information, Mom, I dont eat to solve my problems. I cut myself. Is that better?",season 4
Lois," Chris, we all love your hat.",season 4
Chris," Thanks, Mom! to Dr. Hartman Hey, doc, what did you do with my moms fat?",season 4
Peter," Uhhhh, its exactly what it looks like.",season 4
Brian," Thank you for coming, Deep Throat.",season 4
Brian, Uh... okay.,season 4
Brian, Kermit the Frog?,season 4
Stewie, Whats his appeal?,season 4
Meg," I have to tell you something, Adam.",season 4
Chris," Shes so pretty that if your Hacky Sack were my private parts, Id let her do that to them.",season 4
Chris," Um, wait...yes.",season 4
Chris, Matthew McConaughey?,season 4
Stewie," Chris, grab his legs! I gotta bury this thing.",season 4
Chris, But I...,season 4
Stewie, GRAB HIS GODDAMN LEGS!!!,season 4
Peter, Ill tell you whats not safe,season 4
Peter," So, yall set to go hunting? Cheney shoots him about ten times. Peter screams each time until he falls on the ground",season 4
Peter, shows Carrot Top a saw wearing glasses I found this saw with glasses on it.,season 4
Peter," Oh, my God! Oh, my God! You are so fucking funny! You are so Goddamn you for being so",season 4
Lois," Peter, these are parachutes! What the hell are we going to do with parachutes?",season 4
Peter, They were to distract you while I put on the one scuba suit.,season 4
Peter," That wasnt oxygen, that was a tank of Tony Danzas breath! I wonder who got my oxygen tank.",season 4
Stewie, Did I miss my cue?,season 4
Peter, Although I probably pushed things too far when I did the incest episode.,season 4
Chris," nervously Oh, uh...hi, Mom.",season 4
Lois," in a shaky voice Hi, Chris... they both have a shameful look on their faces",season 4
Brian," in the kitchen with his head down, pounding his fist on the table everytime he says wrong WRONG! Its WRONG!",season 4
Peter," Yeah, I got something to say. stands on a stool You know, we kid around a lot here, but the truth is, we care about each other. And we to be back, because we wanna address some serious issues and, you know, do something we can all be proud of. Peter farts; everyone laughs",season 4
Peter," That was me. I used to think flatulence was something to laugh about. Truth is, 300,000,000 Americans a day expel gas through their anus more about flatulence, you can visit my ass. farts again, then laughs Just yankin ya. scene fades to black for a moment, then back in again; Peter farts once more",season 4
Peter, I want some ice cream.,season 5
Peter, I hate you! I hate you! I want my mommy!,season 5
Quagmire," Oh, we're just getting started!",season 5
Cleveland, Meg is my least favorite of all your children!,season 5
Peter," It's alright. We'll just move the party to the skating rink. Who's sober enough to drive? nobody answers Uh, okay, who's drunk, but that special kind of drunk where you're a better driver because you know you're drunk? You know, the kind of drunk where you probably shouldn't drive, but you do anyway because, I mean, come on, you got to get your car home. Right? I mean, I mean, what do they expect me to do, take a bus? Is that what they want? For me to take a bus? Well, screw that! You take a bus.",season 5
Cleveland, I'm that kind of drunk.,season 5
Peter, throws Cleveland the car keys Shotgun!,season 5
Lois," So, how was work today, Meg?",season 5
Lois," Oh. Peter, you lost your job because of the Super Store. You shouldn't blame Meg.",season 5
Lois, And you can stop making that fart sound every time someone says Meg.,season 5
Brian," So, how was your day exploiting the town's resources, Meg?",season 5
Chris, laughs Meg.,season 5
Chris, MEG!,season 5
Chris, Meg! Meg! Meg! Meg! Meg! Meg! Meg!,season 5
Chris, quietly Meg.,season 5
Meg, I'm not gonna sit here and take this! I'm the only one in this family who has a job!,season 5
Brian," Yeah, like she'd get paid for that.",season 5
Meg, What did he just say to you?,season 5
Brian," Nothing. There was It's like if you Forget it. It's nothing, Meg.",season 5
Stewie," You can't leave, man, that's desertion. They'll come after you like Peter went after that hockey coach. pause, but there's no cutaway Oh, no clip? Oh, thought we had a clip. Nope? Okay. Uhuh, you can't leave, Brian...",season 5
Brian," All right, it shouldn't be too hard to get us kicked out.",season 5
Stewie, Right. We've just got to convince them we're not army material. Ready?,season 5
Brian," All right, let's do it. they start making out",season 5
Stewie," Wow, look at how gay we are! I am so gay, with my gayness!",season 5
Brian, Me too! I'm... I'm a homo!,season 5
Stewie, Hell yeah! Brian slaps him,season 5
Peter," Quagmire, check it out! I took ten M80s and stuck 'em all together. I call it ""Peter Griffin's BunkerBustin'MegaUltraSuper..."" the firecrackers explode all at once in his hand, knocking him down to the ground; screams; holds up his fingerless hand to everyone HOLY CRAP!!!",season 5
Lois," OH, MY GOD!! YA BLEW OFF ALL YOUR FINGERS!",season 5
Stewie," You know, no huge hurry, but I'm sorta outta juice over here. taps his empty cup Bone dry.",season 5
Chris, There's one of Dad's fingers!,season 5
Meg," We have to hurry! I learned in biology, if you get 'em back soon enough, they can be reattached.",season 5
Cleveland, What's all the commotion?,season 5
Stewie," Now, why in the world would you be embarrassed about dating her?",season 5
Stewie, to Brian Are her parents brother and sister?,season 5
Brian, Can you please leave now?!,season 5
Stewie," Oh. Now I get it. She's a moron! But a moron with large breasts, you can use as mountains for your Matchbox cars or whatever it is grownups do with large breasts.",season 5
Brian, Shut up! That's not it at all.,season 5
Peter," reading Meg's sex pamphlet ""If you have sex, your penis will fall off and land in another dimension populated entirely by dogs who will eat it"". Well, that's something I'd like to avoid. Well, this changes everything! From now on, I too will be ""obstinent"".",season 5
Meg, Abstinent.,season 5
Peter, Absent.,season 5
Meg, Abstinent.,season 5
Peter, You're grounded.*,season 5
Peter," Oh, that was fantastic. Hey, where'd you get that tattoo on your lower back?",season 5
Lois," I don't know, Peter. Meth is a hell of a drug.",season 5
Peter, What?,season 5
Peter," Oh, Smilla, your sense of snow is equalled only by your sense of love!",season 5
Lois," Peter, have you been up all night watching chick movies?",season 5
Peter," Lois, before I found these movies, women only made me cry through my penis. Now they make me cry through my eyes.",season 5
Brian, So what happened?,season 5
Stewie," Well, you wanna know what I learned this week? Being a grownup sucks. Women, Brian what a royal pain in the ass. It's like, it's like, why can't you just hang out with guys, you know? Just live with someone of your own sex, just do what you would do with women, but with your buddy, you know wha why don't guys just do that?",season 5
Brian," They do, it's called being gay.",season 5
Stewie," Oh, that's what gay is? Oh yeah, I could totally get into that.",season 5
Brian," drunk You know, Connie, I think I have a theory about why you're such a bitch.",season 5
Meg," Brian, let's just go.",season 5
Brian," No, no, no, no, no. Hang on. Hang on, Meg. Hang on. You see, Connie, you're popular because you developed early and started putting out when you were 12. But now you can't stand to look at yourself in the mirror, because all you see is a whore. So you pick on Meg to avoid the inevitable realization that once your body's used up by age 19, you're gonna be a wornout, chalkyskinned burlap sack that even your stepdad won't want. How's that? Am I in the ballpark?",season 5
Meg," Morning, cutie!",season 5
Brian, Hey.,season 5
Meg," I had so much fun last night, Brian. Hey, I thought maybe we could go get some coffee later.",season 5
Brian, I I don't think so.,season 5
Meg," Oh, come on! Who's a good boy? Who's a good boy? Huh? Who's a good boy?",season 5
Brian, Me.,season 5
Meg," speaks baby talk Oh, yes, yes, yes! Who's a good boy?!",season 5
Brian," I am. I'm a good boy. But, no, no, no. Look. Look. I got stuff to do today. All right? Sorry.",season 5
Meg," Well, we should hook up, anyway. I'll bug ya later. leaves",season 5
Peter, How much for the gloves?,season 5
Brian," Peter, those are yours.",season 5
Peter, 10 bucks! $2! $7! $4! $5.50! $10! Sold! slyly Sucker. I would have gone to fifteen easy. I am so stupid.,season 5
Brian, While running away with Stewie How are we gonna get out of here?,season 5
Stewie, You still got the starting gun?,season 5
Brian, Yeah?,season 5
Stewie, Give it to me.,season 5
Stewie," To the driver of the car, while holding up the gun Get out of the fucking car! Get out of the fucking car right now man! breaks car window with the gun Get out of the fucking car! Do it, do it, do it! I'll fucking kill you! Get the fuck out of the fucking car!",season 5
Brian, Did we just carjack someone?,season 5
Stewie," We sure did Brian, we sure did.",season 5
Lois," So, Meg, your birthday's coming up, huh? You excited about turning...",season 5
Peter," Uh, Meg, I got 16 candles for your birthday cake. How does that sound?",season 5
Meg, That's not right.,season 5
Peter," So, less, more, too many, not enough?",season 5
Meg, You stupid son of a bitch! You don't even know how old I am!,season 5
Lois," Meg, that kind of language is not appropriate for a girl your age, or is it?",season 5
Meg," I'm gonna be 17, you jerks! leaves",season 5
Peter," to Kyle You got LEGOs? Aw, sweet! Lois only buys me Mega Bloks.",season 5
Lois," They're the same thing, Peter.",season 5
Peter," You know what, Lois? They're not the same thing. And the sooner you get that through your thick skull, the sooner we can get this marriage back on track.",season 5
Stewie, whispers I love you.,season 5
Brian, What? What'd you say?,season 5
Stewie," Uh, olive juice.",season 5
Brian, Olive juice?,season 5
Stewie," whispers Olive juice, you too.",season 5
Peter," Hey, Meg, come here. Have a seat. she sits down next to him. Peter then does a fake yawn, stretches his arms out, and puts one around Meg",season 5
Meg," Dad, what are you doing?",season 5
Peter," Meg, I'm a redneck. Which means I am about to do something to you that you will not remember until you're 40.",season 5
Peter," Meg, come back here! I meant sex!",season 5
Peter," Hey, Bill, you up for a little bowling? I swiped some money out of Lois' purse. I don't think she'll notice, 'cause she's here, humping you?!",season 5
Lois," gasps Peter! starts putting on and buttoning her shirt Look, I know this looks bad, and I feel horrible, andand I know nothing I could say to you could possibly justify why I slept with Bill, except... voice gets increasingly more lustful I mean, Peter, the man presided over the longest economic expansion in U.S. History and... inhales he reduced the percentage of Americans on welfare to its lowest level in 33 years!",season 5
Lois," 35 years, Peter!",season 5
Brian, How do you think it works?,season 5
Stewie, I have no idea.,season 5
Brian," Look, Lois told me I had to start using the toilet and you're the one who's had potty training, so I'm counting on you to help me.",season 5
Stewie," All right, we're two intelligent guys. We can figure this out.",season 5
Brian, What's that big back part?,season 5
Stewie, Maybe that's where the wizard lives who operates this thing. It would be wise not to anger him.,season 5
Brian, I wonder what this thing is for.,season 5
Stewie," Brian, be careful with that. We don't know what it does.",season 5
Brian," sighs All right, here goes.",season 5
Stewie," Oh, God. Oh, God. Careful. Careful. Careful. Careful.",season 5
Brian," OW! Damn it, Peter! Stop it! I gotta tell you, you're pissin' me off worse than when I watched the O.J. verdict with my old roommate.",season 5
Brian, What the hell?!,season 5
Brian, What?!,season 5
Brian, Maybe we should get new roommates.,season 5
Lois," Oh, it is so good to be home. You know, I wanted us to live in a place with real family values, but values don't come from where you live or who your friends are. They come from inside, from your own beliefs.",season 5
Peter," I agree, Lois. Like, for instance, if you're watching a TV show and you decide to take your values from that... you're an idiot. Maybe you should take responsibility for what values your kids are getting. Maybe you shouldn't be letting your kids watch certain shows in the first place if you have such a big problem with them, instead of blaming the shows themselves. long pause Yeah.",season 5
Peter, Horsey! You saved my life!,season 5
Peter, Wow! Gilbert Gottfried!,season 5
Peter, Awesome!,season 5
Lois," Peter, a little culture is good for this family. Besides, you liked The Nutcracker, didn't you?",season 5
Peter," No, Lois, I did not. The Nutcracker had zero physical comedy. Andand with a name like The Nutcracker, I thought, ""Oh, this will be worth a few yuks."" But no, Lois. That title wrote a check that the queers on stage refused to cash.",season 5
Lois, They cut a school's funding if it's got low test scores? This is not what the Founding Fathers had in mind.,season 5
Chris," Hi. I'm going doortodoor to campaign on behalf of Lois Griffin, who's offering real change for the city of Quahog. May we count on your vote next Tuesday? the camera pans to the person at the door, who turns out to be Lois",season 5
Lois," Chris, this is our house.",season 5
Chris, Ah. Then what is for dinner?,season 5
Lois, Pork chops.,season 5
Chris, Excellent.,season 5
Lois," Chris, have you been to any other houses?",season 5
Chris, I have not.,season 5
Lois, Would you like to come in?,season 5
Chris, Please.,season 5
Lois," Hey, you guys.",season 5
Chris," Mom, everyone on TV says you're running the town great. Maybe you could do some damn laundry once in a while.",season 5
Lois, What?,season 5
Chris, What?,season 5
Quagmire," to Lois Come here, baby, let's go play ""Hide and Go Anal""!",season 5
Lois," Meg, stop staring at Mr. Griffin! I'm sorry, Peter. I'm afraid she's got her father's libido.",season 5
Quagmire, What can I say? I'm a Vagittarius! Oh!,season 5
Lois, I know! Who would have thought bin Laden was hiding out in the cast of MADtv?,season 5
Quagmire," Man, the perfect hiding spot  the one place no one would look.",season 5
Quagmire," Ok, who would you rather do, Jabba the Hutt right after a shower, or a service droid?",season 6
Quagmire, angrily My father was a service droid! starts to leave,season 6
Quagmire," Hey, where are you going?",season 6
Quagmire," Oh, you can just kiss the lower back end of the canister that is my body.",season 6
Stewie," That is fantastic! Terrific work! So, no weaknesses at all?",season 6
Chris, Is it a fast ship?,season 6
Brian," makes Chewbacca's trademark gargling roar for a second, then spits out water in a nearby sink Always gargle before a take-off. Wocka-wocka! All right, let's go.",season 6
Meg," Wow, Dad, thanks for keeping us entertained! That was a great story!",season 6
Chris," Yeah, but didn't Robot Chicken already do this three months ago?",season 6
Peter," Well, I wouldn't worry about it, Chris. I don't think people are even aware of that show's existence.",season 6
Chris," I don't know, Dad. I think a decent number of people watch it.",season 6
Peter," Oh, really? Define decent.",season 6
Chris," I think it's the highest rated show on Cartoon Network, and the Star Wars episode doubled that audience.",season 6
Peter," Well, yeah, but double ten people is like, twenty people, so what kind of numbers are we talking about here? Who knows?",season 6
Chris," Don't be glib about this stuff, Dad. It's a legitimate show, and they beat you to the punch.",season 6
Peter," Uh, I don't know about that, Chris. I mean, to me a legitimate show is on ABC, CBS, NBC, you know, one of the REAL networks.",season 6
Chris," chuckles I don't know about that, Dad.",season 6
Peter," And besides, what's up with that 15-minute run time? What is that? It's like 15 minutes of guys playing with ""Star Wars"" dolls. Oh, yay, yaaay! Tune me in for that.",season 6
Chris," Oh, so you do know the show?",season 6
Peter, I read part of a review online. I'm not a fan.,season 6
Chris," angrily You know, Dad, you're a real jerk!",season 6
Lois," So, Meg, any luck finding another job?",season 6
Meg," No. Hardly anybody's hiring right now. The only job I could find was for a phone sex line, and I sucked at it.",season 6
Meg," What am I wearing? Um...a hat, and...glasses? What kind of underwear? Um...I don't know...big underwear, I guess. I'm sorry, what? Oh. What would I do to you? Well, um... I guess, maybe we could get pizza, and...we could watch House?",season 6
Peter," All right, I am totally flaccid, but thank you anyway, ma'am. I appreciate your time. hangs up",season 6
Quagmire," Peter, this doesn't seem safe.",season 6
Cleveland," Yeah, I'm afraid I might- Cleveland falls off the mountain, then Spider-Man arrives, and shoots a web under Cleveland, breaking his fall Wow. Thanks, Spider-Man!",season 6
Peter," Uh, apparently, everybody gets one.",season 6
Lois, What are you-- Wha-what are you doing with a gun?,season 6
Stewie," Something I should have done a very long time ago. shoots rapidly at Lois until she falls into the water with blood on her chest I DID IT! I KILLED HER! SHE'S DEAD! laughs maniacally until he trips and cries Mommy! Mommy! Mommy! ...Oh, yeah, that's right.",season 6
Peter," Oh, no!",season 6
Brian," Oh, no!",season 6
Meg," Oh, no!",season 6
Lois," All right, Peter. I'm going to kill Stewie. Dinner's in the oven. All you have to do is turn it to 350 at about 5",season 6
Peter," Yeah, okay, Lois.",season 6
Lois, Are you listening?,season 6
Peter, Yeah.,season 6
Lois, What did I just say?,season 6
Peter, Turn the oven to 350 at 5,season 6
Brian," Peter, why did you have my acupuncturist arrested?",season 6
Peter, Because he was an illegal immigrant and a threat to our national security!,season 6
Brian, He was an 85 year old Korean Buddhist!,season 6
Peter, Or was he supreme leader of al-Queda? I guess we'll find out if he ever gets a trial.,season 6
Brian," Peter, America was founded by immigrants. Everyone here is the descendant of an immigrant. They're a vital part of our society.",season 6
Peter, They're part of the Rebel Alliance and a traitor! Take 'em away!,season 6
Peter," Well, I guess everything's back to normal.",season 6
Peter," Oh, man. Not this guy again!",season 6
Meg, What's wrong?,season 6
Meg, What? Where?,season 6
Meg," Oh, my God! Dad!",season 6
Meg, What do you think you're doing?!,season 6
Peter, Chinese accent Peter? Who Peter?,season 6
Meg, I didn't say Peter. I said Dad!,season 6
Peter, normally Oh.,season 6
Meg, Have you been spying on us the entire time we've been dating?!,season 6
Peter," Meg, it's only because I wanna make sure this guy treats you right and doesn't try anything funny!",season 6
Meg," But, Michael.",season 6
Peter," See? Look, Meg. He just walked out on ya. He's a bad man, like Jodie Foster.",season 6
Brian, Didn't we have an electrician in there today?,season 6
Stewie," Uh, he left. Pretty sure he left.",season 6
Brian, Isn't that his truck?,season 6
Stewie," Well, by God, Brian, we're murderers. I guess this means you'll be going to Doggie Hell.",season 6
Stewie," Excellent. I'm a bigger hit with the kids than Will Smith and his nice, clean rap.",season 6
Peter, Stop mocking me!,season 6
Peter," Oh, come on!",season 6
Peter," Oh, I believe I am. Driver's license, Social Security card, American Express.",season 6
Peter," Well, Dave, I have a hilarious new movie comin' out on HBO next month. It's all about 9/11. The movie's called September 11th, 2000-Fun.",season 6
Peter," Well, you haven't heard what the movie's about. I play a window washer who has just finished washing the last window of the World Trade Center. And then I turn around to get off the scaffold, and what do you think I see coming? A plane! And I go, ""Come on""! You know, it's real, real old-style comedy, you know, it's like two pies in the face, and one in a field in Pennsylvania.",season 6
Peter, And the voice of the plane is David Spade.,season 6
Chris, Are you a pedophile?,season 6
Stewie," Listen, I'll be your assistant, and we'll put on a whole big show!",season 6
Brian, Really?,season 6
Stewie," Yeah, we'll do all the great tricks. You can even split me in half.",season 6
Brian, What?,season 6
Stewie, Saw me in half.,season 6
Lois," I don't know, Brian. Raising a child is a very rewarding experience.",season 6
Peter," You know what else is rewarding, Lois? Shutting your vag.",season 6
Lois, What?,season 6
Peter, What?,season 6
Peter," Hey, guys, what's going on?",season 6
Quagmire, Cool!,season 6
Cleveland," That thing don't bite, do it?",season 6
Peter," Guys, say hello to Adrian Beakey.",season 6
Peter," Hey, isn't that funny? He heard me say that on the way over in the car.",season 6
Peter," uncomfortable Uh, yeah, I had the radio on in the car and they were talking about some crazy stuff... So what are you-what are you guys drinkin'?",season 6
Lois," Chris, honey, what's wrong?",season 6
Chris, Anna took a dump on me.,season 6
Lois, What?!,season 6
Chris," Yeah, she broke up with me.",season 6
Lois," Oh-ho, she dumped you. That's what you meant to say.",season 6
Chris, What's the difference?,season 6
Lois," Well, when two people love each other very much, sometimes they show it by- y- never mind.",season 6
Peter," Brian, can I see that paper for a sec? Brian hands him the paper Huh, that's odd. I thought that would be big news.",season 7
Brian, You thought what would be big news?,season 7
Peter," Well, there seems to be an absence of a certain ornithological piece. A headline regarding mass awareness of a certain avian variety.",season 7
Brian, What are you talking about?,season 7
Peter," Oh, have you not heard? It was my understanding that everyone had heard.",season 7
Brian, Heard what?,season 7
Stewie," Brian, don't!",season 7
Peter, You seem like a nice guy. Why don'tcha come over to my house for dinner tonight?,season 7
Peter," Great! We'll have a blast. After we eat, we can watch that YouTube footage of Marlee Matlin callin' Moviefone.",season 7
Stewie," All right, Brian, we'll go. But don't touch anything while we're there. Even stepping on a mosquito can cause a chain reaction that drastically alters the present.",season 7
Brian, Really?,season 7
Stewie, Nah. You can do whatever you want.,season 7
Brian, Unless what?,season 7
Stewie, Whenever-,season 7
Chris, Yeah! But you remember the giant eagle they rode in the first one that then rescues them at the end of the 3rd one?,season 7
Chris," Yeah, why didn't they just fly the eagle to Mordor instead of spending 3 movies walking there?",season 7
Chris, I'm not arguing that with you. I'm just saying there's a hole in the story.,season 7
Chris," Well, that's not the point.",season 7
Chris," Of course. I love the movie. But look. I'm no writer. But if a fat kid like me with one finger up his nose is bumped by it, you'd think someone would've caught it.",season 7
Chris," No, I did. The eagle was majestic and beautiful, but sometimes you have to sacrifice spectacle for a coherent storyline.",season 7
Chris, No.,season 7
Stewie," Well, Rupert, we're out of food, diapers, and just about everything else. Which means I've got to get a job. Otherwise, we'll be in worse shape than Morbidly-Obese Albert.",season 7
Stewie," Hey, New Brian. Oh, I see you're having pie. You know, pie isn't really pie without Cool Hwhip.",season 7
Stewie, Everything's better with Cool Hwhip.,season 7
Stewie, Did you hear what I said?,season 7
Brian," Yeah, what about it?",season 7
Stewie," It doesn't bother you the way I pronounce it? ""Cool Hwhip?""",season 7
Brian," No, why would it?",season 7
Stewie, Cool Hwhip. I'm putting emphasis on the H.,season 7
Brian, Sounds right to me.,season 7
Stewie," Nothing ever bothers you, does it?",season 7
Brian," No, not really. I like everything.",season 7
Stewie," God, he's a bigger buzz kill than Buzz Killington.",season 7
Stewie, No...,season 7
Peter, Can you use it in a sentence please?,season 7
Peter, Huh. Can you use it in a dirty sentence?,season 7
Peter, T-R-E-E. Tree.,season 7
Brian, What's it called?,season 7
Brian," sarcastically Wow, a song named after a girl. There aren't a million of those already.",season 7
Stewie, Name 20.,season 7
Stewie, Name 6 more.,season 7
Brian," ""Sherry"", ""Laura"", ""Wendy"", ""Maria"", ""Peggy Sue"", ""Minnie the Moocher"".",season 7
Stewie, Name 5 more.,season 7
Brian," ""Tracy"", ""Jean"", ""Jane"", ""Mary Ann"", ""Eleanor Rigby"".",season 7
Stewie, Go fuck yourself.,season 7
Brian," Oh, there's my laptop. Do you mind? I want to check my e-mail.",season 7
Stewie, Go away! I'm editing this music video I'm making for Susie.,season 7
Brian," voice rising in pitch Oh, really. Music video? Working on a little video there? Little, uh... little music video? Little compilation of visual images to go with the song? Little four minute movie that tells the story of a...",season 7
Stewie," Yeah, that only works when I do it.",season 7
Lois," Peter, where have you been? You left for the market six hours ago! Did you get the beans?",season 7
Peter," Lois, I've got something better! You know how you've always wanted a real diamond engagement ring?",season 7
Lois," gasps, touched Oh my God!",season 7
Peter," That's right, I've bought a horse!",season 7
Peter," Okay, what's next?",season 7
Peter," in Rogen's voice Hey, doc, are we gonna be much longer? I gotta get some beers with the fellas before I go out on this date.",season 7
Peter," That's my name, don't put a knife in it.",season 7
Brian, Wow. Fred Savage is the greatest actor in the history of the world!,season 7
Lois," Well, if you let us run this story, I promise you they will.",season 7
Stewie," Yeah? Can you read my mind? Can you tell what I'm thinking right now? I'm thinkin' ""shut up and get a salad"".",season 7
Stewie," We'll get to you, Brent!",season 7
Stewie," Uh, hello!",season 7
Stewie," Oh, hailing frequencies open, huh? chuckles Uh, yeah. We're gonna get 2 McChicken Sandwiches and a Diet Coke and... What do you want, Michael?",season 7
Stewie," No. I already told you, they don't make those anymore.",season 7
Stewie, No McDonald's anywhere makes a McDLT anymore!,season 7
Stewie," It's September, Jonathan!",season 7
Stewie," No, LeVar. You're blind. That's the only way you can see.",season 7
Stewie, Just hang on! All right?! There's a lot of us! There's a lot-- It's a big order!,season 7
Stewie, It's 3,season 7
Stewie, None of 'em serve breakfast all day!,season 7
Peter," says grace before the meal Dear Lord, please give me the cheat codes from ""Mike Tyson's Punch-Out"". I have been stuck on Bald Bull for four years. I tried Left-Left-Up-B-dodge-uppercut, but it still knocks me out. And, you know, they say you're supposed to go Right-B-Up-dodge-Left-uppercu... laughs Listen to me, telling you how to play a game.",season 7
Peter, laughs He said it!,season 7
Peter," Hey, whatever happened to your son, Kevin?",season 7
Peter, unemotionally Sad.,season 7
Peter, Oh no! Connie's been hurt! I guess someone should lie on top of her to keep her warm.,season 7
Peter, What are you looking at? It's a cartoon!,season 7
Peter," You know somethin', Brian? I bet you'll make the late night monologues.",season 7
Brian, Lauren just finished a fascinating doctoral thesis on sub-orbital propulsion mechanisms that NASA is using for the next generation of space shuttles.,season 7
Peter," So, Lauren, um, whenever I'm watchin' your show...you give me wood. Where do we go from here?",season 7
Stewie, Yep.,season 7
Stewie," Well, it's done.",season 7
Brian, What the hell? What's happened to us?,season 8
Stewie," I don't know, but suddenly I feel all sweet and warm and fuzzy. It seems we're in a universe where everything is drawn by Disney.",season 8
Brian, Look! There's our house!,season 8
Stewie, laughing Look how gaily we run!,season 8
Brian," Whoa, this is trippy.",season 8
Stewie, I should say so. We're in the Robot Chicken universe.,season 8
Stewie, How's it feel to be on a major network for 30 seconds?,season 8
Stewie, Bye!,season 8
Brian, That's the problem with this world,season 8
Quagmire," See you later, bitches! Have fun with your stupid goddamn Giant Chicken jokes and your Conway Twitty... Hey, why is there a moving truck outside Cleveland's house?",season 8
Peter," I'm John Wayne at the first Thanksgiving, pilgrims. Happy Thanksgiving, pilgrims.",season 8
Peter, kicks the Drive Thru window Keep the change. zoom on Peter Road House.,season 8
Brian, about to set them on the dresser Here?,season 8
Brian, about to set them on the cushioned bench On this?,season 8
Brian, about to set them on the windowsill Here?,season 8
Brian, crossly You know what? Just take your fucking keys because I don't know what the fuck you're talking about. slams door,season 8
Lois," Oh, that's terrible.",season 8
Peter," Oh, my God! You've missed so much! Like when America was attacked by mentally challenged suicide bombers.",season 8
Peter," Now hang on, Quagmire, there's no guarantee that it's your baby.",season 8
Quagmire," Oooh, I say that...",season 8
Brian," Peter, I sharpened a pencil in my bum and now I need a band-aid.",season 8
Brian," I'm trying to establish a friendship with you. All I've done is try to be nice to you, and you still don't like me. How can you not like me?",season 8
Quagmire," Okay, I'll tell you. You are the worst person I know. You constantly hit on your best friend's wife. The man pays for your food and rescued you from certain death, and this is how you repay him? And to add insult to injury, you defecate all over his yard. And you're such a sponge. You pay for nothing. You always say mocks Brian ""Ooh, I'll get you later"", but later never comes. And what really bothers me, is you pretend that you're this deep guy that loves women for their souls, when all you do is date bimbos. Yeah, I date women for their bodies, but at least I'm honest about it. I don't buy them a copy of Catcher in the Rye and then lecture them with some seventh grade interpretation about how Holden Caulfield was some profound intellectual. He wasn't! He was a spoiled brat! And that's why you like him so much, He's you. God, you're pretentious. And you delude yourself by thinking you're some great writer, even though you're terrible. You know, I should've known Cheryl Tiegs didn't write me that note. She would've known there's no ""a"" in the word ""definite"". And what I think I hate most about you is your textbook liberal agenda. How we should mocks again ""legalize pot, man"", how big business is crushing the underclass, how homelessness is the biggest tragedy in America. Well what have you done to help? I work down at the soup kitchen, Brian. Never seen you down there. You wanna help? Grab a ladle! And by the way, driving a Prius doesn't make you Jesus Christ. Oh, wait. You don't believe in Jesus Christ, or any religion for that matter because mocks again ""religion is for idiots"". Well, who the hell are you to talk down to anyone?! You failed college twice, which isn't nearly as bad as your failure as a father. How's that son of yours you never see? But you know what? I could forgive all of that, all of it, if you weren't such a bore. That's the worst of it, Brian. You're just a big, sad, alcoholic bore. sighs, puts his napkin on the table, and sets to leave I'll see ya, Brian. Thanks for the fucking steak.",season 8
Brian," Lois was right. I'm not a writer. I'm a joke. I'm one big, fat, ridiculous joke. camera pulls out to show Bill from Family Circus sitting next to him",season 8
Brian," You know what, father from Family Circus? All you do is judge other people. Every day in the funnies, all you do is judge. Why don't you shut your goddamn mouth for once and go home and punch your wife in the face?",season 8
Peter, This is a very shocking Family Circus.,season 8
Stewie, Poor bastard’s more upset than when I read Curious George Goes to his Gym Coach’s Apartment.,season 8
Stewie, Monkeys aren’t supposed to drink chardonnay! He’s tricking you! Get out of there!,season 8
Peter, Here are some of the new products we'll be unveiling. flips page The African-American heart monitor.,season 8
Peter," Morning, nice people who I still don't know your names and who mean nothing to me.",season 8
Lois," Well, I certainly hope that doesn't apply to me, especially after last night.",season 8
Peter," You got a point there, hot stuff. smacks her rear end And if sex with the rest you is half as good as it was with her, then I think we're all gonna get along just fine.",season 8
Chris, Yay!,season 8
Lois," Well, no, no, Peter. You can't have sex with the kids.",season 8
Meg," Well, I wish you'd told him that before he lost his memory. everyone else gasps It was a joke! I was just making a joke!",season 8
Stewie, That's your sense of humor?!,season 8
Meg, I was just kidding! God!,season 8
Lois," Meg, that's awful!",season 8
Chris," Geez, open your mouth for a joke once and that's what you come up with?",season 8
Brian," That's messed up, Meg.",season 8
Meg, I was just trying to be funny.,season 8
Lois," That wasn't funny, that was just dark.",season 8
Stewie," Yeah, that's your father!",season 8
